Accelgor;Jolteon;Weavile;
Greninja;Dugtrio;Sceptile;
Alakazam;Salazzle;Zebstrika;
Floatzel;Ambipom;Starmie;
Lycanroc;Scolipede;Archeops;
Dodrio;Tauros;Gengar;
Espeon;Durant;Heliolisk;
Infernape;Pyroar;Mienshao;
Zoroark;Rapidash;Manectric;
Mismagius;Delphox;Garchomp;
Salamence;Staraptor;Flygon;
Charizard;Typhlosion;Hydregion;
Haxorus;Sigilyph;Darmanitan;
Electivire;Sharpedo;Arcanine;
Leafeon;Primeape;Sawsbuck;
Houndoom;Yanmega;Jynx;
Unfezant;Krookodile;Bruxish;
Leavanny;Zangoose;Lucario;
Klingklang;Porygon-Z;Roserade;
Lilligant;Mr. Mime;Hitmonlee;
Pinsir;Heracross;Sawk;
Kommo-o;Toxicroak;Nidoking;
Magmortar;Gyarados;Milotic;
Dragonite;Mamoswine;Gallade;
Braviary;Blaziken;Passimian;
Kabutops;Stoutland;Shiftry;
Goodra;Venusaur;Gardevoir;
Masquerain;Chandelure;Togekiss;
